A,3,142.48,3.55078,-38.0494,2.71797,-19.4897,196.8,-3.53082,65.1434,-3.86885,31.7903,326.4,-3.72621,17.0681,-0.838104,10.2298,214.54,-3.36926,70.7231,-4.5342,33.7907,211.94,-1.1921,18.6547,-1.22055,9.25322,236.42,0.934694,-2.1657,1.01182,-1.1132
A,3,69.18,2.39857,-23.6039,2.44102,-10.8696,228.94,-4.11625,74.3316,-4.46466,37.2599,261.88,-8.79095,33.6799,-3.40923,16.1973,209.94,-0.514143,65.8209,-3.26856,32.1767,162.66,-1.67781,27.9292,-1.78098,13.9185,250.14,1.85864,-1.98998,0.972989,-0.385278
A,3,115.9,3.75332,-32.884,1.85826,-16.9501,171.48,-2.45402,56.2825,-3.66861,27.8419,288.9,1.82411,23.8572,-1.78252,12.3194,229.38,-4.97068,70.619,-4.56852,34.8298,189.22,-1.81964,23.4261,-1.81639,11.3339,246.36,0.0934562,2.06483,0.129854,0.989059
A,3,84.12,3.78695,-21.1661,0.758742,-10.1337,207.84,-3.1893,68.414,-4.44243,34.1758,235.12,0.729574,31.629,-1.48909,15.0941,203.16,-5.34168,59.9404,-3.63276,29.7779,158.02,-1.11108,17.6202,-1.12669,8.76412,279.2,-0.951145,-1.22433,0.158631,-0.935838
A,3,54.24,1.35742,-16.7133,1.11078,-7.88724,193.18,-4.01092,62.652,-3.84301,31.6528,237.3,-5.08697,29.4522,-2.24816,16.1291,236.4,-2.20695,69.5394,-4.10166,34.0748,149.88,-1.80752,28.8085,-1.8076,14.3466,255.9,-0.250414,1.2953,-0.0714762,0.0788164
A,3,104.22,4.73184,-29.8174,2.21284,-15.0523,228.24,-3.74217,75.2271,-4.57527,37.1373,293.34,-4.51437,25.5143,-1.91998,12.4421,227.34,-2.84381,66.9417,-3.79508,33.1909,183.92,-1.69537,26.8991,-1.69521,13.3977,276.7,-0.756747,-4.57712,0.0293579,-1.86857
A,3,120.42,4.98563,-34.7469,2.76481,-17.3803,189.34,-1.71492,60.165,-3.72282,29.4643,383.08,-6.9126,36.4829,-3.1449,18.3854,208,-1.05222,71.8108,-3.80472,35.5764,230.32,-2.40771,38.0858,-2.38063,18.993,208.22,-0.42734,2.80337,-0.672341,0.595226
A,3,43.82,3.8002,-14.3524,0.381985,-5.7449,221.24,-3.94692,71.4988,-4.79608,35.9321,154.22,-2.18277,16.1057,-1.26588,7.99224,162,-2.8072,49.9473,-2.86205,24.9746,103.04,-0.759138,12.1819,-0.755197,6.05779,223.12,0.106095,0.0499247,0.0696298,0.084168
A,3,74.02,2.14776,-27.7048,2.06159,-12.7597,193.44,-4.08914,61.8951,-4.0351,31.3197,273.1,0.487592,31.8705,-1.26112,16.1886,230.62,-6.31843,64.2762,-4.0605,32.2484,185.88,-0.626244,13.7341,-0.62987,6.23302,260.72,0.46808,0.553821,-0.0154758,0.665989
A,3,133.2,-0.571356,-34.1308,1.52206,-17.5455,238.8,-6.38957,76.2505,-5.16604,37.1231,369.32,-3.05518,35.0677,-2.28454,17.6717,218.24,-3.22742,72.2874,-4.75338,35.4398,251.28,-1.13598,20.4916,-1.25843,10.2675,259.06,0.0598423,-0.00250666,0.0593717,-0.0049738
